Degrees of Freedom,Critical t-value (alpha/2 = 0.025)
111,1.9815667570310707
112,1.9813718148344004
113,1.98118035937458
114,1.9809922979375063
115,1.9808075410672
116,1.9806260024239375
117,1.9804475986497292
118,1.9802722492407059
119,1.980099876426006
120,1.9799304050527766
121,1.9797637624769302
122,1.979599878459331
123,1.9794386850670895
124,1.9792801165796825
125,1.979124109399617
126,1.9789706019673934
127,1.9788195346805206
128,1.978670849816362
129,1.978524491458605
130,1.9783804054271528
131,1.9782385392112583
132,1.9780988419057233
133,1.9779612641500013
134,1.9778257580700527
135,1.977692277222804
136,1.9775607765430832
137,1.9774312122928936
138,1.9773035420129161
139,1.977177724476122
140,1.9770537196433882
141,1.9769314886210219
142,1.9768109936200895
143,1.976692197917468
144,1.9765750658185364
145,1.9764595626214159
146,1.9763456545827003
147,1.9762333088845878
148,1.9761224936033632
149,1.976013177679155
150,1.9759053308869137
151,1.9757989238085503
152,1.9756939278061865
153,1.9755903149964584
154,1.9754880582258318
155,1.9753871310468782
156,1.9752875076954723
157,1.975189163068866
158,1.975092072704601
159,1.9749962127602252
160,1.9749015599937718
161,1.974808091744976
162,1.9747157859171878
163,1.9746246209599578
164,1.9745345758522654
165,1.9744456300863589
166,1.9743577636521854
167,1.9742709570223844
168,1.9741851911378205
169,1.9741004473936334
170,1.9740167076257822
171,1.9739339540980687
172,1.9738521694896134
173,1.973771336882769
174,1.9736914397514558
175,1.9736124619498971
176,1.973534387701743
177,1.9734572015895642
178,1.9733808885447028
179,1.9733054338374663
180,1.9732308230676485
181,1.9731570421553688
182,1.9730840773322158
183,1.973011915132679
184,1.9729405423858688
185,1.9728699462074988
186,1.9728001139921347
187,1.9727310334056902
188,1.9726626923781652
189,1.9725950790966154
190,1.9725281819983447
191,1.9724619897643145
192,1.9723964913127592
193,1.9723316757930007
194,1.972267532579456
195,1.9722040512658325
196,1.9721412216594967
197,1.9720790337760217
198,1.9720174778338955
199,1.971956544249395
200,1.9718962236316089
201,1.9718365067776153
202,1.9717773846678006
203,1.9717188484613175
204,1.9716608894916783
205,1.9716034992624785
206,1.9715466694432429
207,1.9714903918653968
208,1.9714346585183504
209,1.9713794615456988
210,1.9713247932415292
211,1.971270646046835
212,1.971217012546033
213,1.9711638854635762
214,1.9711112576606635
215,1.9710591221320442
216,1.9710074720029067
217,1.9709563005258595
218,1.9709056010779904
219,1.9708553671580107
220,1.9708055923834749
221,1.9707562704880786
222,1.9707073953190277
223,1.970658960834481
224,1.970610961101059
225,1.9705633902914224
226,1.970516242681912
227,1.9704695126502552
228,1.9704231946733293
229,1.9703772833249864
230,1.9703317732739332
231,1.9702866592816692
232,1.9702419362004753
233,1.970197598971455
234,1.9701536426226298
235,1.970110062267077
236,1.970066853101121
237,1.970024010402567
238,1.9699815295289813
239,1.9699394059160156
240,1.9698976350757682
241,1.9698562125951944
242,1.9698151341345511
243,1.9697743954258793
244,1.9697339922715282
245,1.9696939205427129
246,1.9696541761781063
247,1.9696147551824694
248,1.969575653625311
249,1.9695368676395824
250,1.9694983934204002
251,1.969460227223805
252,1.9694223653655463
253,1.9693848042198945
254,1.9693475402184857
255,1.9693105698491928
256,1.9692738896550188
257,1.969237496233022
258,1.9692013862332611
259,1.969165556357771
260,1.9691300033595547
261,1.9690947240416048
262,1.9690597152559444
263,1.969024973902692
264,1.9689904969291439
265,1.9689562813288826
266,1.9689223241409017
267,1.9688886224487523
268,1.968855173379707
269,1.9688219741039445
270,1.9687890218337518
271,1.9687563138227426
272,1.9687238473650965
273,1.9686916197948099
274,1.9686596284849687
275,1.968627870847033
276,1.968596344330141
277,1.9685650464204225
278,1.9685339746403343
279,1.968503126548004
280,1.9684724997365919
281,1.9684420918336636
282,1.9684119005005785
283,1.9683819234318902
284,1.9683521583547583
285,1.9683226030283758
286,1.9682932552434058
287,1.9682641128214307
288,1.968235173614414
289,1.9682064355041717
290,1.9681778964018566
291,1.9681495542474505
292,1.96812140700927
293,1.9680934526834817
294,1.9680656892936228
295,1.9680381148901405
296,1.9680107275499317
297,1.967983525375898
298,1.9679565064965066
299,1.9679296690653618
300,1.9679030112607843
301,1.9678765312853974
302,1.9678502273657266
303,1.9678240977517993
304,1.9677981407167606
305,1.96777235455649
306,1.9677467375892304
307,1.9677212881552213
308,1.9676960046163405
309,1.9676708853557536
310,1.967645928777568
311,1.9676211333064952
312,1.9675964973875208
313,1.9675720194855775
314,1.9675476980852264
315,1.9675235316903463
316,1.9674995188238251
317,1.9674756580272579
318,1.9674519478606551
319,1.9674283869021496
320,1.967404973747713
321,1.9673817070108794
322,1.967358585322468
323,1.9673356073303159
324,1.9673127716990169
325,1.9672900771096584
326,1.9672675222595712
327,1.9672451058620783
328,1.967222826646251
329,1.9672006833566684
330,1.9671786747531812
331,1.9671567996106814
332,1.9671350567188735
333,1.9671134448820524
334,1.9670919629188839
335,1.9670706096621888
336,1.9670493839587326
337,1.9670282846690172
338,1.9670073106670767
339,1.9669864608402778
340,1.9669657340891236
341,1.9669451293270581
342,1.966924645480279
343,1.9669042814875484
344,1.966884036300012
345,1.9668639088810185
346,1.966843898205941
347,1.9668240032620055
348,1.9668042230481182
349,1.9667845565746982
350,1.9667650028635124
351,1.966745560947514
352,1.966726229870682
353,1.9667070086878655
354,1.9666878964646284
355,1.9666688922770992
356,1.9666499952118217
357,1.966631204365608
358,1.966612518845396
359,1.966593937768107
360,1.966575460260506
361,1.9665570854590662
362,1.9665388125098338
363,1.9665206405682956
364,1.966502568799249
365,1.9664845963766746
366,1.9664667224836094
367,1.966448946312024
368,1.9664312670626993
369,1.9664136839451092
370,1.9663961961772995
371,1.9663788029857756
372,1.9663615036053854
373,1.966344297279209
374,1.966327183258447
375,1.966310160802313
376,1.9662932291779265
377,1.9662763876602063
378,1.9662596355317696
379,1.966242972082828
380,1.9662263966110873
381,1.9662099084216509
382,1.9661935068269198
383,1.9661771911464996
384,1.9661609607071049
385,1.9661448148424663
386,1.9661287528932412
387,1.9661127742069224
388,1.9660968781377504
389,1.9660810640466255
390,1.9660653313010235
391,1.9660496792749105
392,1.96603410734866
393,1.9660186149089718
394,1.96600320134879
395,1.9659878660672252
396,1.9659726084694749
397,1.9659574279667493
398,1.9659423239761926
399,1.965927295920809
400,1.965912343229391
401,1.9658974653364454
402,1.965882661682122
403,1.9658679317121446
404,1.9658532748777402
405,1.9658386906355723
406,1.9658241784476733
407,1.9658097377813775
408,1.9657953681092568
409,1.9657810689090571
410,1.9657668396636332
411,1.9657526798608886
412,1.9657385889937118
413,1.965724566559917
414,1.965710612062186
415,1.9656967250080053
416,1.965682904909613
417,1.965669151283938
418,1.9656554636525445
419,1.9656418415415788
420,1.9656282844817117
421,1.965614792008086
422,1.965601363660263
423,1.9655879989821703
424,1.9655746975220503
425,1.9655614588324097
426,1.9655482824699675
427,1.9655351679956072
428,1.9655221149743283
429,1.9655091229751973
430,1.9654961915712994
431,1.9654833203396938
432,1.9654705088613669
433,1.9654577567211853
434,1.9654450635078535
435,1.9654324288138676
436,1.965419852235472
437,1.9654073333726183
438,1.9653948718289203
439,1.9653824672116138
440,1.9653701191315147
441,1.9653578272029777
442,1.9653455910438584
443,1.9653334102754714
444,1.9653212845225512
445,1.965309213413216
446,1.9652971965789272
447,1.965285233654453
448,1.9652733242778313
449,1.9652614680903333
450,1.965249664736427
451,1.9652379138637426
452,1.9652262151230362
453,1.9652145681681557
454,1.9652029726560079
455,1.9651914282465222
456,1.9651799346026197
457,1.96516849139018
458,1.965157098278007
459,1.9651457549377995
460,1.9651344610441182
461,1.9651232162743544
462,1.9651120203087
463,1.9651008728301174
464,1.965089773524308
465,1.965078722079685
466,1.9650677181873424
467,1.9650567615410266
468,1.9650458518371086
469,1.9650349887745546
470,1.9650241720549015
471,1.9650134013822247
472,1.965002676463115
473,1.9649919970066514
474,1.9649813627243724
475,1.9649707733302535
476,1.964960228540678
477,1.9649497280744148
478,1.9649392716525917
479,1.9649288589986715
480,1.9649184898384258
481,1.9649081638999133
482,1.9648978809134559
483,1.964887640611612
484,1.9648774427291582
485,1.9648672870030623
486,1.9648571731724631
487,1.9648471009786461
488,1.9648370701650244
489,1.964827080477113
490,1.9648171316625114
491,1.9648072234708787
492,1.964797355653915
493,1.9647875279653393
494,1.9647777401608701
495,1.9647679919982048
496,1.964758283236999
497,1.964748613638848
498,1.9647389829672648
499,1.9647293909876649
